letter,term,tag,short,long,ids_drr,where_seen,why_it_matters,policy,model,disaster_type_0,difference_0,disaster_type_1,difference_1,disaster_type_2,difference_2,related_terms,common_misinterpretation
E,Exposure,data,The people property and assets located in hazard-prone areas,"Exposure refers to what or who is present in places where hazardous events might occur. This includes population counts, buildings, infrastructure, agricultural land, and economic activities in at-risk zones.","IDS-DRR maps exposure using census data, satellite imagery, infrastructure databases, and economic activity records to show exactly what could be affected by different hazard scenarios.","Exposure maps showing population density in risk zones, asset inventories, infrastructure overlays, and economic impact projections",Understanding exposure helps quantify potential losses and prioritize protection measures. Reducing exposure through land-use planning or relocation is one of the most effective ways to reduce disaster risk.,Used to determine land-use planning restrictions and relocation programs,"Models predict population exposure based on historical hazard data, socioeconomic indicators, and climate projections to anticipate future risks.",Flood Exposure,"Based on population/assets in flood plains, near rivers, or low-lying coastal areas",Heat Exposure,"Based on population in areas with high temperatures, poor ventilation, or limited cooling",Cyclone Exposure,Based on population/assets in coastal zones within cyclone-prone regions,"risk,hazard,vulnerability",High exposure doesn't mean high risk if those exposed are well-protected or the hazard is unlikely
H,Hazard ,Risk Component ,A potentially damaging natural event that may cause loss of life or property,"A process, phenomenon or human activity that may cause loss of life, injury or other health impacts, property damage, social and economic disruption or environmental degradation.","Calculates a Flood Hazard Score per revenue circle/District/Subsditrict  using satellite-derived flood extent data, historical inundation records, and hydro-meteorological indicators.","Flood hazard maps, inundation layers, SDMA early warning bulletins, IMD rainfall alerts, CWC flood forecasting data","Hazard assessment shows where and how severely floods strike. Without it, risk scores cannot be computed.",,,,,,,,,,
V,Vulnerability,Risk Component ,The conditions that make people or assets more susceptible to harm from a hazard,"Social, economic, physical, and institutional factors that increase likelihood of harm. Includes housing quality, health status, access to infrastructure, and governance strength.","Measures demographic vulnerability using WORLDPOP, Bharat Map and Antodaya  indicators: population density, sex ratio and household level data at the District/Subdistrict/Revenue Circle circle level.","Census of India tables, NFHS health indicators, SECC deprivation data, SDMA damage reports disaggregated by population group",Two areas with identical hazard and exposure can have very different outcomes depending on vulnerability,,,,,,,,,,
R,Risk Score ,Topographic Wetness Index,"  A composite index quantifying overall risk based on hazard, exposure, vulnerability, and government response",Aggregates multiple risk components into a single comparable value per geographic unit and hence enabling  prioritisation and tracking of change over time.,"Computes a Comprehensive Risk Score for every revenue circle/district/subdistrict for a state  combining sub-scores for Flood Hazard, Exposure, Vulnerability, and Government Response.","IDS-DRR dashboard, SDMA planning documents, district disaster management plans",Translates complex multi-dimensional data into an actionable number for resource allocation and progress tracking.,,,,,,,,,,
G,Government Response,Risk Component ,"The capacity of government institutions to prepare for, respond to, and recover from flood events","Measures how effectively public systems reduce harm before, during, and after an hazard event ncluding  relief infrastructure, procurement efficiency, and recovery expenditure.",Incorporates public procurement and fiscal data from the state tender portal and SECC Meetings  measure whether money for flood management is being spent effectively and on time.," state budget documents, SDMA flood reports, Open Contracting procurement data, Finance Department expenditure records, SECC meetings",Even high-hazard areas can have lower net risk with strong government response. Weak procurement amplifies disaster impacts.,,,,,,,,,,
I,Inundation,Data Source,The temporary flooding of land caused by overflow of water from rivers or heavy rainfall,"Physical covering of land by floodwater. Measured by extent, depth, and duration. the driving factor varies from geography to geographies but primarily driven by riverine overflowing during monsoon.",Uses Satellite  imagery via Bhuvan to track spatial extent and duration of flooding across Districts/Subdistricts/Revenue circles each monsoon season.,"MODIS and Sentinel satellite flood maps, ASDMA FRIMS daily situation reports, BHUVAN portal, CWC flood bulletins",Inundation extent is the primary input for flood hazard scores. Historical frequency data identifies which administrative unit faces repeated flooding.,,,,,,,,,,
R,Revenue Circle,Administrative,"The smallest administrative unit used for land revenue and governance in Assam, below sub-district level","Administrative subdivision for land records, revenue collection and local governance. IDS-DRR uses revenue circles as the primary unit of analysis for all risk scoring.","Computes all risk scores  hazard, vulnerability, exposure, and government response at the revenue circle level for the state of  Assam.","Revenue department records, ASDMA damage reports, Census sub-district data, land record portal",Revenue circle granularity identifies high-risk pockets within a district that district-level averages would mask.,,,,,,,,,,
A,Access to Infrastructure,Risk Component ,"A measure of community proximity to critical physical infrastructure like roads, hospitals, railways, and Healthcare shelters ",Evaluates connectivity of populations to services essential during and after disaster. Poor access amplifies vulnerability and slows recovery.,"Evaluates proximity to roads, rail, hospitals, and shelters (Schools) at the revenue circle level. This layer feeds into the vulnerability score by identifying communities that would be cut off during floods.","OpenStreetMap road data, NHM facility registers, PMGSY rural roads data, Census 2011 village amenities",Road submergence during floods frequently cuts off communities. Poor infrastructure access disproportionately harms even moderate-hazard areas.,,,,,,,,,,
D,DRIMS,Operational ,Flood Reporting and Information Management System by  ASDMA for tracking flood damage across Assam during flood seasons,"Primary operational data system for ASDMA to collect and publish daily flood situation reports during monsoon. Data covers population affected, houses damaged, livestock lost, crop inundated, and relief status.",DRIMS data forms a key component of IDS-DRR's past damages dataset. Provides the historical record of flood impacts at revenue circle level used to calibrate hazard scores.,"ASDMA website, daily monsoon situation reports, annual flood reports, IDS-DRR source dataset",One of the few sub-district flood damage datasets systematically maintained in India. Its longitudinal record enables trend analysis and model validation.,,,,,,,,,,
P,Procurement Data,Data Source,"Records of government contracts and tenders for an event-related goods, services, and works — used to assess efficiency and timeliness of public spending","Captures the full contracting cycle: what was procured, from whom, at what price, when awarded, and whether completed on time. Covers embankment works, relief supplies, early warning systems, and disaster equipment.","One of the first disaster risk models in India to incorporate procurement data. Uses assamtenders.gov.in and OCDS data to measure procurement timeliness, completion rates, and expenditure against budget.","gePNIC portal, Finance Department budget documents, Open Contracting Partnership India datasets, CAG audit reports","Budget allocation tells only part of the story. Late contracts, underperforming suppliers, or unspent funds mean allocations don't translate into protection",,,,,,,,,,
R,Resilience,Conceptual,"The ability of a community to absorb, adapt to, and recover from disaster impacts while maintaining essential functions","A resilient community can absorb shocks without catastrophic loss, adapt based on experience, and bounce back to pre-disaster or better conditions. Shaped by social cohesion, economic diversity, institutional strength, and resource access.","IDS-DRR proxies resilience through existing components: government response capacity (institutional), infrastructure access (physical), and low demographic deprivation (social). Improving any component increases resilience.","Sendai Framework 2015-2030, UNDP Human Development Index, World Bank Resilience Index, ASDMA community resilience programme reports",Resilience framing shifts DRR from reactive (responding) to proactive (building communities that can withstand and adapt). It is the long-term goal risk reduction investments work toward.,,,,,,,,,,
D,Demographic Vulnerability,Risk Component ,The degree to which a population's social and demographic characteristics increase susceptibility to a hazard harm,"Examines who the at-risk population is gender, age, economic deprivation and access to basic services. Populations with more women, elderly, deprived, or those lacking WASH (Water, Sanitation and Hygeine)  face greater harm.","Measures census indicators per District/Subdistrict/Revenue Ciircle: total population, sex ratio households without safe drinking water, and households without sanitation to undertsand who is more vulnerable to a flood related disater ","Census of India 2011 primary census abstract, SECC 2011 deprivation data, NFHS-5 district health indicators",Reveals who bears the greatest burden. Poor WASH access amplifies flood health impacts through waterborne disease disproportionately affecting deprived communities.,,,,,,,,,,
E,Embankment,Risk Component ,Earthen or concrete flood protection structures built along riverbanks to prevent floodwater from entering inhabited or agricultural land,Linear flood protection bunds along rivers.Their condition directly determines whether a flood event becomes a catastrophe.,Incorporates embankment condition and breach data in the loss and damages layer. ,"Water Resources Department inspection records,SDMA flood damage reports, state budget allocations, procurement data ",Embankment breaches are the single most common cause of sudden large-scale inundation in certain geographies . A single breach can submerge dozens of villages overnight.,,,,,,,,,,
D,DEM,Data Source,Digital Elevation Model is a raster grid of bare-earth surface elevations,"Foundation for all topographic flood analysis. Used to calculate slope, identify low-lying zones, derive drainage networks, compute TWI (Topographic Wetness Index), and model flood accumulation",NASA DEM (30m) is a core input for Flood Hazard scoring. Elevation and slope derived from DEM identify District/Subdistrict and Revenue circlein low-lying flood-susceptible valley terrain. It is one of the main hazard data indicator.,"NASA Earth Data,USGS",Elevation is the most powerful predictor of flood susceptibility. Low-elevation floodplains are structurally flood-prone regardless of embankments.,,,,,,,,,,
S,Slope ,Data Source,Rate of terrain elevation change derived from DEM — predictor of water flow speed and accumulation,"Nearly flat slopes in floodplain cause slow-draining, long-duration inundation and  Steep slopes in hill districts generate rapid flash flood runoff.",In IDS-DRR Low-slope floodplain areas assigned higher flood hazard weights due to water accumulation characteristics.,"NASA Earth Data,USGS",Structural reason some geographies experiences prolonged inundation  near-flat valley prevents rapid drainage after embankment breach or river overflow.,,,,,,,,,,
N,NDVI,Data Source,Normalised Difference Vegetation Index — measures vegetation density from satellite imagery,Calculated from NIR and Red satellite bands. High values = dense vegetation (flood buffer); low values = barren/urban (faster runoff). Tracks seasonal land cover dynamics in the geographies,"Low NDVI areas (fallow land, chars, degraded forest) associated with higher surface runoff and flood susceptibility","NASA Earth Data,USGS,DICRA",Captures seasonal and multi-year land cover dynamics explaining year-to-year flood damage variation beyond rainfall alone.,,,,,,,,,,